Drug,Recommendation,Rationale,Standardized,ExStandardized
Butalbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages","[""BUTALBITAL, ASPIRIN AND CAFFEINE"", ""BUTALBITAL; ACETAMINOPHEN; CAFFEINE; CODEINE PHOSPHATE"", ""BUTALBITAL; ACETAMINOPHEN; CAFFEINE; CODEINE"", ""ACETAMINOPHEN; BUTALBITAL"", ""BUTALBITAL, ACETAMINOPHEN, CAFFEINE AND CODEINE PHOSPHATE"", ""ASPIRIN; BUTALBITAL"", ""ASPIRIN; BUTALBITAL; CAFFEINE"", ""ASPIRIN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE"", ""BUTALBITAL, ACETAMINOPHEN AND CAFFEINE"", ""ACETAMINOPHEN; BUTALBITAL; CAFFEINE"", ""BUTALBITAL, ASPIRIN, CAFFEINE, AND CODEINE PHOSPHATE"", ""BUTALBITAL AND ACETAMINOPHEN"", ""ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE""]",PHENYLBUTAZONE
Mephobarbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages",[],METHYLPHENOBARBITAL
Pentobarbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages","[""SODIUM PENTOBARBITAL"", ""PENTOBARBITAL SODIUM"", ""PENTOBARBITAL""]",PENTOBARBITAL
Phenobarbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages",[],PHENOBARBITAL
Secobarbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages","[""SECOBARBITAL SODIUM""]",SECOBARBITAL
Alprazolam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia","[""ALPRAZOLAM""]",ALPRAZOLAM
Estazolam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia","[""ESTAZOLAM""]",ESTAZOLAM
Lorazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia","[""LORAZEPAM INTENSOL"", ""LORAZEPAM"", ""LORAZEPAM PRESERVATIVE FREE""]",LORAZEPAM
Oxazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia","[""OXAZEPAM""]",OXAZEPAM
Temazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia","[""TEMAZEPAM""]",TEMAZEPAM
Triazolam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia","[""TRIAZOLAM""]",TRIAZOLAM
Chlordiazepoxide,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia","[""CHLORDIAZEPOXIDE HYDROCHLORIDE"", ""CHLORDIAZEPOXIDE"", ""CHLORDIAZEPOXIDE AND AMITRIPTYLINE HYDROCHLORIDE"", ""CHLORDIAZEPOXIDE HYDROCHLORIDE; CLIDINIUM BROMIDE"", ""CHLORDIAZEPOXIDE HYDROCHLORIDE AND CLIDINIUM BROMIDE"", ""AMITRIPTYLINE HYDROCHLORIDE; CHLORDIAZEPOXIDE"", ""CHLORDIAZEPOXIDE; ESTROGENS, ESTERIFIED""]",CHLORDIAZEPOXIDE
Clonazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia","[""CLONAZEPAM""]",CLONAZEPAM
Clorazepate,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia","[""CLORAZEPATE DIPOTASSIUM""]",CLORAZEPATE
Diazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia","[""DIAZEPAM INTENSOL"", ""DIAZEPAM""]",DIAZEPAM
Flurazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia","[""FLURAZEPAM HYDROCHLORIDE""]",FLURAZEPAM
Quazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia","[""QUAZEPAM""]",QUAZEPAM
Meprobamate,Avoid,High rate of physical dependence; sedating,"[""ASPIRIN; MEPROBAMATE"", ""MEPROBAMATE"", ""MEPROBAMATE AND ASPIRIN"", ""ESTROGENS, CONJUGATED; MEPROBAMATE""]",MEPROBAMATE
Bromazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",[],BROMAZEPAM
Clobazam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia","[""CLOBAZAM""]",CLOBAZAM
Nitrazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",[],NITRAZEPAM
Clonazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia","[""CLONAZEPAM""]",CLONAZEPAM
Eszopiclone,Avoid,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics have adverse events similar to those of benzodiazepines in older adults (eg, delirium, falls, fractures); increased emergency room visits/hospitalizations; motor vehicle crashes; minimal improvement in sleep latency and duration","[""ESZOPICLONE""]",ESZOPICLONE
Zaleplon,Avoid,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics have adverse events similar to those of benzodiazepines in older adults (eg, delirium, falls, fractures); increased emergency room visits/hospitalizations; motor vehicle crashes; minimal improvement in sleep latency and duration","[""ZALEPLON""]",ZALEPLON
Zolpidem,Avoid,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics have adverse events similar to those of benzodiazepines in older adults (eg, delirium, falls, fractures); increased emergency room visits/hospitalizations; motor vehicle crashes; minimal improvement in sleep latency and duration","[""ZOLPIDEM TARTRATE""]",ZOLPIDEM
Ergoloid mesylates,Avoid,Lack of efficacy,"[""ERGOLOID MESYLATES""]",ERGOLOID MESYLATE
Isoxsuprine,Avoid,Lack of efficacy,[],
Methyltestosterone,Avoid unless diagnosed with hypogonadism with clinical symptoms,Potential for cardiac problems; contraindicated in men with prostate cancer,"[""METHYLTESTOSTERONE""]",METHYLTESTOSTERONE
Testosterone,Avoid unless diagnosed with hypogonadism with clinical symptoms,Potential for cardiac problems; contraindicated in men with prostate cancer,"[""METHYLTESTOSTERONE"", ""TESTOSTERONE CYPIONATE"", ""TESTOSTERONE UNDECANOATE"", ""DEPO-TESTOSTERONE"", ""ESTRADIOL VALERATE; TESTOSTERONE ENANTHATE"", ""ESTRADIOL CYPIONATE; TESTOSTERONE CYPIONATE"", ""TESTOSTERONE ENANTHATE"", ""TESTOSTERONE"", ""TESTOSTERONE PROPIONATE"", ""TESTOSTERONE CYPIONATE-ESTRADIOL CYPIONATE"", ""TESTOSTERONE ENANTHATE AND ESTRADIOL VALERATE""]",TESTOSTERONE
Desiccated thyroid ,Avoid,Concerns about cardiac effects; safer alternatives available,[],
Estradiol/Levonorgestrel,Avoid,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider",[],ESTRADIOL
Estradiol/Northindrone Acetate,Avoid,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider",[],ESTRADIOL
Estradiol/ Drospirenone,Avoid,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider",[],ESTRADIOL
Ospemifene,Avoid,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider","[""OSPEMIFENE""]",OSPEMIFENE
Estradiol/Norgestimate,Avoid,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider",[],ESTRADIOL
Estrogen/Medroxyprogesterone,Avoid,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider",[],CONJUGATED ESTROGENS
Estropipate,Avoid unless using intravaginally,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider","[""ESTROPIPATE""]",ESTRONE
Estrogen,Avoid unless using intravaginally,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider","[""NATURAL ESTROGENIC SUBSTANCE-ESTRONE"", ""CONJUGATED ESTROGENS/MEDROXYPROGESTERONE ACETATE"", ""SYNTHETIC CONJUGATED ESTROGENS A"", ""ESTERIFIED ESTROGENS"", ""ESTROGENS, CONJUGATED; MEDROXYPROGESTERONE ACETATE"", ""AMNESTROGEN"", ""ESTROGENIC SUBSTANCE"", ""ESTROGENS, CONJUGATED"", ""ESTROGENS, CONJUGATED SYNTHETIC B"", ""ESTROGENS, CONJUGATED SYNTHETIC A"", ""BAZEDOXIFENE ACETATE; ESTROGENS, CONJUGATED"", ""DELESTROGEN"", ""ESTROGENS, ESTERIFIED"", ""CHLORDIAZEPOXIDE; ESTROGENS, ESTERIFIED"", ""ESTROGENS, CONJUGATED; MEPROBAMATE""]",CONJUGATED ESTROGENS
Estradiol,Avoid unless using intravaginally,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider","[""ESTRADIOL; NORETHINDRONE ACETATE"", ""ESTRADIOL CYPIONATE; MEDROXYPROGESTERONE ACETATE"", ""NORETHINDRONE AND ETHINYL ESTRADIOL (7/14)"", ""NORETHINDRONE ACETATE;ETHINYL ESTRADIOL;ETHINYL ESTRADIOL;FERROUS FUMARATE"", ""ETHINYL ESTRADIOL; NORETHINDRONE"", ""NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL AND ETHINYL ESTRADIOL AND FERROUS FUMARATE"", ""ESTRADIOL AND NORGESTIMATE"", ""ETHINYL ESTRADIOL; FERROUS FUMARATE; NORETHINDRONE"", ""DEPO-ESTRADIOL"", ""NORETHINDRONE; ETHINYL ESTRADIOL"", ""ELAGOLIX SODIUM,ESTRADIOL,NORETHINDRONE ACETATE; ELAGOLIX SODIUM"", ""ESTRADIOL ACETATE"", ""ESTRADIOL HEMIHYDRATE"", ""ETHINYL ESTRADIOL; NORELGESTROMIN"", ""ESTRADIOL"", ""FLUOROESTRADIOL F-18"", ""NORGESTIMATE; ETHINYL ESTRADIOL"", ""ESTRADIOL; NORGESTIMATE"", ""ESTRADIOL; LEVONORGESTREL"", ""ETHINYL ESTRADIOL; FERROUS FUMARATE; NORETHINDRONE ACETATE"", ""DROSPIRENONE; ETHINYL ESTRADIOL; LEVOMEFOLATE CALCIUM"", ""NORGESTREL AND ETHINYL ESTRADIOL"", ""ETHINYL ESTRADIOL AND NORELGESTROMIN"", ""ETHINYL ESTRADIOL; LEVONORGESTREL"", ""ETHYNODIOL DIACETATE AND ETHINYL ESTRADIOL"", ""ETHINYL ESTRADIOL; ETONOGESTREL"", ""ESTRADIOL CYPIONATE; TESTOSTERONE CYPIONATE"", ""NORGESTIMATE AND ETHINYL ESTRADIOL"", ""NORETHINDRONE ACETATE; ETHINYL ESTRADIOL; ETHINYL ESTRADIOL; FERROUS FUMARATE"", ""ETHINYL ESTRADIOL; SEGESTERONE ACETATE"", ""ESTRADIOL; PROGESTERONE"", ""ESTRADIOL VALERATE AND DIENOGEST"", ""DROSPIRENONE; ETHINYL ESTRADIOL"", ""ESTRADIOL VALERATE"", ""NORETHINDRONE AND ETHINYL ESTRADIOL AND FERROUS FUMARATE"", ""NORETHINDRONE AND ETHINYL ESTRADIOL (10/11)"", ""DIENOGEST; ESTRADIOL VALERATE"", ""NORETHINDRONE AND ETHINYL ESTRADIOL"", ""DESOGESTREL; ETHINYL ESTRADIOL"", ""ETHINYL ESTRADIOL AND LEVONORGESTREL"", ""POLYESTRADIOL PHOSPHATE"", ""ETHINYL ESTRADIOL"", ""LEVONORGESTREL AND ETHINYL ESTRADIOL AND ETHINYL ESTRADIOL"", ""ETHINYL ESTRADIOL; NORGESTREL"", ""ETHINYL ESTRADIOL;NORETHINDRONE; FERROUS FUMARATE"", ""NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL AND FERROUS FUMARATE"", ""DROSPIRENONE, ETHINYL ESTRADIOL AND LEVOMEFOLATE CALCIUM "", ""ETHINYL ESTRADIOL; NORETHINDRONE ACETATE"", ""DROSPIRENONE; ESTRADIOL"", ""LEVONORGESTREL AND ETHINYL ESTRADIOL"", ""TESTOSTERONE CYPIONATE-ESTRADIOL CYPIONATE"", ""ETHINYL ESTRADIOL; NORGESTIMATE"", ""NORETHINDRONE ACETATE;ETHINYL ESTRADIOL;FERROUS FUMARATE"", ""NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL"", ""ETHINYL ESTRADIOL; LEVONORGESTREL; FERROUS FUMARATE"", ""ESTRADIOL CYPIONATE"", ""ESTRADIOL AND NORETHINDRONE ACETATE"", ""ESTRADIOL VALERATE; TESTOSTERONE ENANTHATE"", ""ESTRADIOL VALERATE; ESTRADIOL VALERATE; DIENOGEST"", ""ETHINYL ESTRADIOL; ETHYNODIOL DIACETATE"", ""DESOGESTREL AND ETHINYL ESTRADIOL"", ""DROSPIRENONE, ETHINYL ESTRADIOL AND LEVOMEFOLATE CALCIUM"", ""ESTRADIOL; NORETHINDRONE ACETATE; RELUGOLIX"", ""DROSPIRENONE AND ETHINYL ESTRADIOL"", ""TESTOSTERONE ENANTHATE AND ESTRADIOL VALERATE""]",ESTRADIOL
Growth Hormone,Avoid unless diagnosed with growth hormone deficiency due to established etiology,"Impact on body composition is small and associated with edema, arthralgia, carpal tunnel syndrome, gynecomastia, impaired fasting glucose",[],PEGVISOMANT
Insulin Lispro,Avoid unless using with concurrent long-acting insulin,"Higher risk of hypoglycemia without improvement in hyperglycemia management regardless of care setting
Avoid insulin regimens that include only short- or rapid-acting insulin dosed according to current blood glucose levels without concurrent use of basal or long-acting insulin. This recommendation does not apply to regimens that contain basal insulin or long-acting insulin","[""INSULIN LISPRO-AABC"", ""INSULIN LISPRO"", ""INSULIN LISPRO RECOMBINANT"", ""INSULIN LISPRO PROTAMINE RECOMBINANT; INSULIN LISPRO RECOMBINANT""]",INSULIN LISPRO
Insulin,Avoid unless using with concurrent long-acting insulin,"Higher risk of hypoglycemia without improvement in hyperglycemia management regardless of care setting
Avoid insulin regimens that include only short- or rapid-acting insulin dosed according to current blood glucose levels without concurrent use of basal or long-acting insulin. This recommendation does not apply to regimens that contain basal insulin or long-acting insulin","[""INSULIN DETEMIR"", ""INSULIN DEGLUDEC"", ""INSULIN GLARGINE"", ""INSULIN HUMAN"", ""INSULIN ASPART PROTAMINE RECOMBINANT; INSULIN ASPART RECOMBINANT"", ""INSULIN ZINC SUSP EXTENDED PURIFIED BEEF"", ""INSULIN ASPART"", ""INSULIN RECOMBINANT HUMAN"", ""INSULIN LISPRO-AABC"", ""INSULIN DETEMIR RECOMBINANT"", ""INSULIN GLARGINE; LIXISENATIDE"", ""INSULIN GLARGINE-AGLR"", ""INSULIN RECOMBINANT HUMAN; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN"", ""INSULIN SUSP ISOPHANE RECOMBINANT HUMAN"", ""INSULIN GLARGINE-YFGN"", ""INSULIN DEGLUDEC; LIRAGLUTIDE"", ""INSULIN ASPART RECOMBINANT"", ""INSULIN LISPRO"", ""INSULIN GLULISINE RECOMBINANT"", ""INSULIN GLARGINE RECOMBINANT"", ""INSULIN LISPRO RECOMBINANT"", ""INSULIN LISPRO PROTAMINE RECOMBINANT; INSULIN LISPRO RECOMBINANT"", ""INSULIN ASPART; INSULIN DEGLUDEC""]",INSULIN ASPART
Insulin Aspart,Avoid unless using with concurrent long-acting insulin,"Higher risk of hypoglycemia without improvement in hyperglycemia management regardless of care setting
Avoid insulin regimens that include only short- or rapid-acting insulin dosed according to current blood glucose levels without concurrent use of basal or long-acting insulin. This recommendation does not apply to regimens that contain basal insulin or long-acting insulin","[""INSULIN ASPART; INSULIN DEGLUDEC"", ""INSULIN ASPART RECOMBINANT"", ""INSULIN ASPART"", ""INSULIN ASPART PROTAMINE RECOMBINANT; INSULIN ASPART RECOMBINANT""]",INSULIN ASPART
Insulin Glulisine,Avoid unless using with concurrent long-acting insulin,"Higher risk of hypoglycemia without improvement in hyperglycemia management regardless of care setting
Avoid insulin regimens that include only short- or rapid-acting insulin dosed according to current blood glucose levels without concurrent use of basal or long-acting insulin. This recommendation does not apply to regimens that contain basal insulin or long-acting insulin","[""INSULIN GLULISINE RECOMBINANT""]",INSULIN GLULISINE
Megestrol ,Avoid,Minimal effect on weight; increases risk of thrombotic events and possibly death in older adults,"[""MEGESTROL ACETATE""]",MEGESTROL
Chlorpropamide,Avoid,Prolonged half-life in older adults; can cause prolonged hypoglycemia; causes SIADH,"[""CHLORPROPAMIDE""]",CHLORPROPAMIDE
Glimepiride,Avoid,Higher risk of severe prolonged hypoglycemia in older adults,"[""GLIMEPIRIDE; ROSIGLITAZONE MALEATE"", ""ROSIGLITAZONE MALEATE AND GLIMEPIRIDE"", ""PIOGLITAZONE HYDROCHLORIDE AND GLIMEPIRIDE"", ""GLIMEPIRIDE"", ""GLIMEPIRIDE; PIOGLITAZONE HYDROCHLORIDE""]",GLIMEPIRIDE
Glibenclamide,Avoid,Higher risk of severe prolonged hypoglycemia in older adults,[],GLYBURIDE
Glyburide,Avoid,Higher risk of severe prolonged hypoglycemia in older adults,"[""GLYBURIDE (MICRONIZED)"", ""GLYBURIDE AND METFORMIN HYDROCHLORIDE"", ""GLYBURIDE"", ""GLYBURIDE; METFORMIN HYDROCHLORIDE""]",GLYBURIDE
Metoclopramide,Avoid unless used for gastroparesis (use not to exceed 12 weeks),"Can cause extrapyramidal effects, including tardive dyskinesia; risk may be greater in frail older adults and with prolonged exposure","[""METOCLOPRAMIDE"", ""METOCLOPRAMIDE HCL"", ""METOCLOPRAMIDE HYDROCHLORIDE"", ""METOCLOPRAMIDE INTENSOL""]",METOCLOPRAMIDE
Mineral oil (oral),Avoid,Potential for aspiration and adverse effects; safer alternatives available,[],
Omeprazole,"Avoid scheduled use for >8 weeks unless for high-risk patients (eg, oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett esophagitis, pathological hypersecretory condition, or demonstrated need for maintenance treatment (eg, because of failure of drug discontinuation trial or H2-receptor antagonists)",Risk of Clostridium difficile infection and bone loss and fractures,"[""ESOMEPRAZOLE SODIUM"", ""MAGNESIUM HYDROXIDE; OMEPRAZOLE; SODIUM BICARBONATE"", ""ESOMEPRAZOLE MAGNESIUM"", ""OMEPRAZOLE; SODIUM BICARBONATE"", ""ASPIRIN; OMEPRAZOLE"", ""AMOXICILLIN; CLARITHROMYCIN; OMEPRAZOLE"", ""ESOMEPRAZOLE STRONTIUM"", ""OMEPRAZOLE"", ""AMOXICILLIN; OMEPRAZOLE MAGNESIUM; RIFABUTIN"", ""OMEPRAZOLE AND CLARITHROMYCIN AND AMOXICILLIN"", ""OMEPRAZOLE MAGNESIUM"", ""OMEPRAZOLE AND SODIUM BICARBONATE"", ""NAPROXEN AND ESOMEPRAZOLE MAGNESIUM"", ""ESOMEPRAZOLE MAGNESIUM; NAPROXEN"", ""MAGNESIUM HYDROXIDE AND OMEPRAZOLE AND SODIUM BICARBONATE""]",OMEPRAZOLE
Lansoprazole,"Avoid scheduled use for >8 weeks unless for high-risk patients (eg, oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett esophagitis, pathological hypersecretory condition, or demonstrated need for maintenance treatment (eg, because of failure of drug discontinuation trial or H2-receptor antagonists)",Risk of Clostridium difficile infection and bone loss and fractures,"[""AMOXICILLIN; CLARITHROMYCIN; LANSOPRAZOLE"", ""LANSOPRAZOLE; NAPROXEN"", ""LANSOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN (COPACKAGED)"", ""DEXLANSOPRAZOLE"", ""LANSOPRAZOLE""]",LANSOPRAZOLE
Pantoprazole,"Avoid scheduled use for >8 weeks unless for high-risk patients (eg, oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett esophagitis, pathological hypersecretory condition, or demonstrated need for maintenance treatment (eg, because of failure of drug discontinuation trial or H2-receptor antagonists)",Risk of Clostridium difficile infection and bone loss and fractures,"[""PANTOPRAZOLE SODIUM""]",PANTOPRAZOLE
Rabeprazole,"Avoid scheduled use for >8 weeks unless for high-risk patients (eg, oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett esophagitis, pathological hypersecretory condition, or demonstrated need for maintenance treatment (eg, because of failure of drug discontinuation trial or H2-receptor antagonists)",Risk of Clostridium difficile infection and bone loss and fractures,"[""RABEPRAZOLE SODIUM""]",RABEPRAZOLE
Esomeprazole,"Avoid scheduled use for >8 weeks unless for high-risk patients (eg, oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett esophagitis, pathological hypersecretory condition, or demonstrated need for maintenance treatment (eg, because of failure of drug discontinuation trial or H2-receptor antagonists)",Risk of Clostridium difficile infection and bone loss and fractures,"[""ESOMEPRAZOLE SODIUM"", ""ESOMEPRAZOLE MAGNESIUM"", ""ESOMEPRAZOLE STRONTIUM"", ""NAPROXEN AND ESOMEPRAZOLE MAGNESIUM"", ""ESOMEPRAZOLE MAGNESIUM; NAPROXEN""]",ESOMEPRAZOLE
Dexlansoprazole,"Avoid scheduled use for >8 weeks unless for high-risk patients (eg, oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett esophagitis, pathological hypersecretory condition, or demonstrated need for maintenance treatment (eg, because of failure of drug discontinuation trial or H2-receptor antagonists)",Risk of Clostridium difficile infection and bone loss and fractures,"[""DEXLANSOPRAZOLE""]",LANSOPRAZOLE
