Unnamed: 0,Drug,Recommendation,Rationale,Creatinine Clearance,Condition,ExStandardized
256,Etodolac,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with preserved ejection fraction,ETODOLAC
257,Fenoprofen,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with preserved ejection fraction,FENOPROFEN
258,Ibuprofen,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with preserved ejection fraction,IBUPROFEN
259,Ketoprofen,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with preserved ejection fraction,KETOPROFEN
260,Meclofenamate,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with preserved ejection fraction,MECLOFENAMIC ACID
261,Mefenamic Acid,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with preserved ejection fraction,MEFENAMIC ACID
262,Meloxicam,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with preserved ejection fraction,MELOXICAM
263,Nabumetone,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with preserved ejection fraction,NABUMETONE
264,Naproxen,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with preserved ejection fraction,NAPROXEN
265,Oxaprozin,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with preserved ejection fraction,OXAPROZIN
266,Piroxicam,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with preserved ejection fraction,PIROXICAM
267,Sulindac,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with preserved ejection fraction,SULINDAC
268,Tolmetin,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with preserved ejection fraction,TOLMETIN
269,Celecoxib,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with preserved ejection fraction,CELECOXIB
270,Cilostazol,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with reduced ejection fraction,CILOSTAZOL
271,Diltiazem,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with reduced ejection fraction,DILTIAZEM
272,Verapamil,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with reduced ejection fraction,VERAPAMIL
273,Aspirin,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with reduced ejection fraction,ACETYLSALICYLIC ACID
274,Diclofenac,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with reduced ejection fraction,DICLOFENAC
275,Diflunisal,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with reduced ejection fraction,DIFLUNISAL
276,Etodolac,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with reduced ejection fraction,ETODOLAC
277,Fenoprofen,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with reduced ejection fraction,FENOPROFEN
278,Ibuprofen,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with reduced ejection fraction,IBUPROFEN
279,Ketoprofen,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with reduced ejection fraction,KETOPROFEN
280,Meclofenamate,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with reduced ejection fraction,MECLOFENAMIC ACID
281,Mefenamic Acid,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with reduced ejection fraction,MEFENAMIC ACID
282,Meloxicam,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with reduced ejection fraction,MELOXICAM
283,Nabumetone,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with reduced ejection fraction,NABUMETONE
284,Naproxen,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with reduced ejection fraction,NAPROXEN
285,Oxaprozin,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with reduced ejection fraction,OXAPROZIN
286,Piroxicam,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with reduced ejection fraction,PIROXICAM
287,Sulindac,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with reduced ejection fraction,SULINDAC
288,Tolmetin,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with reduced ejection fraction,TOLMETIN
289,Celecoxib,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",,Heart failure with reduced ejection fraction,CELECOXIB
290,Pioglitazone,Use with caution,Potential to promote fluid retention and/or exacerbate heart failure,,"Heart failure with reduced ejection fraction, asymptomatic",PIOGLITAZONE
291,Rosiglitazone,Use with caution,Potential to promote fluid retention and/or exacerbate heart failure,,"Heart failure with reduced ejection fraction, asymptomatic",ROSIGLITAZONE
292,Dronedarone,Use with caution,Potential to promote fluid retention and/or exacerbate heart failure,,"Heart failure with reduced ejection fraction, asymptomatic",DRONEDARONE
293,Pioglitazone,Use with caution,Potential to promote fluid retention and/or exacerbate heart failure,,"Heart failure with preserved ejection fraction, asymptomatic",PIOGLITAZONE
294,Rosiglitazone,Use with caution,Potential to promote fluid retention and/or exacerbate heart failure,,"Heart failure with preserved ejection fraction, asymptomatic",ROSIGLITAZONE
295,Dronedarone,Use with caution,Potential to promote fluid retention and/or exacerbate heart failure,,"Heart failure with preserved ejection fraction, asymptomatic",DRONEDARONE
296,Donepezil,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,,Syncope,DONEPEZIL
297,Rivastigmine,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,,Syncope,RIVASTIGMINE
298,Galantamine,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,,Syncope,GALANTAMINE
299,Tacrine,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,,Syncope,TACRINE
300,Doxazosin,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,,Syncope,DOXAZOSIN
301,Prazosin,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,,Syncope,PRAZOSIN
302,Terazosin,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,,Syncope,TERAZOSIN
303,Amitriptyline,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,,Syncope,AMITRIPTYLINE
304,Imipramine,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,,Syncope,IMIPRAMINE
305,Clomipramine,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,,Syncope,CLOMIPRAMINE
306,Trimipramine,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,,Syncope,TRIMIPRAMINE
307,Doxepin,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,,Syncope,DOXEPIN
308,Chlorpromazine,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,,Syncope,CHLORPROMAZINE
309,Thioridazine,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,,Syncope,THIORIDAZINE
310,Olanzapine,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,,Syncope,OLANZAPINE
311,Disopyramide,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,DISOPYRAMIDE
312,Pyrilamine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,MEPYRAMINE
313,Triprolidine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,TRIPROLIDINE
314,Amitriptyline,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,AMITRIPTYLINE
315,Amoxapine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,AMOXAPINE
316,Clomipramine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,CLOMIPRAMINE
317,Desipramine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,DESIPRAMINE
318,Doxepin (>6 mg),Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,DOXEPIN
319,Darifenacin,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,DARIFENACIN
320,Imipramine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,IMIPRAMINE
321,Fesoterodine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,FESOTERODINE
322,Nortriptyline,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,NORTRIPTYLINE
323,Flavoxate,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,FLAVOXATE
324,Paroxetine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,PAROXETINE
325,Oxybutynin,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,OXYBUTYNIN
326,Protriptyline,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,PROTRIPTYLINE
327,Solifenacin,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,SOLIFENACIN
328,Trimipramine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,TRIMIPRAMINE
329,Tolterodine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,TOLTERODINE
330,Trospium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,TROSPIUM
331,Prochlorperazine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,PROCHLORPERAZINE
332,Promethazine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,PROMETHAZINE
333,Benztropine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,BENZATROPINE
334,Trihexyphenidyl,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,TRIHEXYPHENIDYL
335,Brompheniramine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,BROMPHENIRAMINE
336,Carbinoxamine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,CARBINOXAMINE
337,Chlorpromazine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,CHLORPROMAZINE
338,Chlorpheniramine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,CHLORPHENIRAMINE
339,Clozapine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,CLOZAPINE
340,Clemastine/Loxapine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,CLEMASTINE/LOXAPINE
341,Cyproheptadine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,CYPROHEPTADINE
342,Olanzapine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,OLANZAPINE
343,Dexbrompheniramine/Perphenazine,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",,Delirium,DEXBROMPHENIRAMINE/PERPHENAZINE
