,DrugName,ActiveIngredient
1316,DEMULEN 1/35-28,ETHINYL ESTRADIOL; ETHYNODIOL DIACETATE
1317,RESTORIL,TEMAZEPAM
1318,ANAPROX,NAPROXEN SODIUM
1319,ANAPROX DS,NAPROXEN SODIUM
1320,TRASICOR,OXPRENOLOL HYDROCHLORIDE
1321,DEMULEN 1/35-21,ETHINYL ESTRADIOL; ETHYNODIOL DIACETATE
1322,FLUIDIL,CYCLOTHIAZIDE
1323,VALRELEASE,DIAZEPAM
1324,MYCELEX,CLOTRIMAZOLE
1325,MYCELEX-7,CLOTRIMAZOLE
1326,INDOCIN SR,INDOMETHACIN
1327,AFRINOL,PSEUDOEPHEDRINE SULFATE
1328,IBU,IBUPROFEN
1329,RUFEN,IBUPROFEN
1330,MIDAMOR,AMILORIDE HYDROCHLORIDE
1331,MODURETIC 5-50,AMILORIDE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE
1332,CYTADREN,AMINOGLUTETHIMIDE
1333,LIPOSYN 10%,SAFFLOWER OIL
1334,TATUM-T,COPPER
1335,LO/OVRAL FE,ETHINYL ESTRADIOL; LEVONORGESTREL; FERROUS FUMARATE
1336,DESYREL,TRAZODONE HYDROCHLORIDE
1337,BUMEX,BUMETANIDE
1338,AMIDATE,ETOMIDATE
1339,DEXTROSE 10% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER,DEXTROSE; SODIUM CHLORIDE
1340,SOMOPHYLLIN,AMINOPHYLLINE
1341,STERILE WATER FOR INJECTION IN PLASTIC CONTAINER,STERILE WATER FOR INJECTION
1342,HALOG-E,HALCINONIDE
1343,CALCIPARINE,HEPARIN CALCIUM
1344,MICRO-K,POTASSIUM CHLORIDE
1345,MICRO-K 10,POTASSIUM CHLORIDE
1346,PROPINE,DIPIVEFRIN HYDROCHLORIDE
1347,TENORMIN,ATENOLOL
1348,ALLOPURINOL,ALLOPURINOL
1349,SULFAMETHOXAZOLE AND TRIMETHOPRIM,SULFAMETHOXAZOLE; TRIMETHOPRIM
1350,OXYTOCIN,OXYTOCIN
1351,SODIUM CHLORIDE IN PLASTIC CONTAINER,SODIUM CHLORIDE
1352,ISOLYTE S IN PLASTIC CONTAINER,MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE
1353,DEXTROSE 5% AND RINGER'S IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1354,TONOCARD,TOCAINIDE HYDROCHLORIDE
1355,DEXTROSE 5% IN ACETATED RINGER'S IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
1356,PITOCIN,OXYTOCIN
1357,MICROLITE,TECHNETIUM TC-99M ALBUMIN COLLOID KIT
1358,"DEXTROSE 5%, SODIUM CHLORIDE 0.45% AND POTASSIUM CHLORIDE 0.15% IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1359,"DEXTROSE 5%, SODIUM CHLORIDE 0.45% AND POTASSIUM CHLORIDE 0.22% IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1360,"DEXTROSE 5%, SODIUM CHLORIDE 0.45% AND POTASSIUM CHLORIDE 0.3% IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1361,"DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 0.15% IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1362,"DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 0.224% IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1363,"DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 0.3% IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1364,"DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 0.075%",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1365,"DEXTROSE 5%, SODIUM CHLORIDE 0.45% AND POTASSIUM CHLORIDE 0.075%",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1366,"DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 0.075% IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1367,"DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 0.15% IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1368,"DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 0.22% IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1369,"DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 0.30% IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1370,ISOLYTE E W/ DEXTROSE 5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM CITRATE
1371,ISOLYTE M W/ DEXTROSE 5% IN PLASTIC CONTAINER,"DEXTROSE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE"
1372,ISOLYTE R W/ DEXTROSE 5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
1373,TECHNESCAN GLUCEPTATE,TECHNETIUM TC-99M GLUCEPTATE KIT
1374,ISOLYTE H W/ DEXTROSE 5% IN PLASTIC CONTAINER,DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
1375,ISOLYTE S W/ DEXTROSE 5% IN PLASTIC CONTAINER,DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE
1376,XANAX,ALPRAZOLAM
1377,K-TAB,POTASSIUM CHLORIDE
1378,VISKEN,PINDOLOL
1379,NEPHROFLOW,IODOHIPPURATE SODIUM I-123
1380,SECRETIN-FERRING,SECRETIN
1381,TYMTRAN,CERULETIDE DIETHYLAMINE
1382,LOPURIN,ALLOPURINOL
1383,VIROPTIC,TRIFLURIDINE
1384,HIBISTAT,CHLORHEXIDINE GLUCONATE
1385,LOPRESSOR HCT,HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE
1386,SENSORCAINE,BUPIVACAINE HYDROCHLORIDE
1387,SENSORCAINE,BUPIVACAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE
1388,THYRO-BLOCK,POTASSIUM IODIDE
1389,TOPICORT LP,DESOXIMETASONE
1390,LYMPHAZURIN,ISOSULFAN BLUE
1391,CALDEROL,CALCIFEDIOL
1392,TECHNESCAN,TECHNETIUM TC-99M OXIDRONATE KIT
1393,CARAFATE,SUCRALFATE
1394,AMERSCAN MDP KIT,TECHNETIUM TC-99M MEDRONATE KIT
1395,TIS-U-SOL IN PLASTIC CONTAINER,"MAGNESIUM SULFATE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM CHLORIDE; SODIUM PHOSPHATE"
1396,ACETAMINOPHEN,ACETAMINOPHEN
1397,INFANTS' FEVERALL,ACETAMINOPHEN
1398,AEROBID,FLUNISOLIDE
1399,WELLCOVORIN,LEUCOVORIN CALCIUM
1400,CAPOTEN,CAPTOPRIL
1401,FLAGYL I.V.,METRONIDAZOLE HYDROCHLORIDE
1402,FLAGYL I.V. RTU IN PLASTIC CONTAINER,METRONIDAZOLE
1403,ORTHO-NOVUM 10/11-21,ETHINYL ESTRADIOL; NORETHINDRONE
1404,ORTHO-NOVUM 10/11-28,ETHINYL ESTRADIOL; NORETHINDRONE
1405,DEXTROSE 2.5% IN PLASTIC CONTAINER,DEXTROSE
1406,SEROPHENE,CLOMIPHENE CITRATE
1407,POTASSIUM CHLORIDE 15MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1408,HEXASCRUB,HEXACHLOROPHENE
1409,POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1410,POTASSIUM CHLORIDE 10MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1411,POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1412,POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1413,POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1414,POTASSIUM CHLORIDE 15MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1415,CHYMEX,BENTIROMIDE
1416,POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE
1417,POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE
1418,POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE
1419,TURGEX,HEXACHLOROPHENE
1420,DEXTROSE 2.5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,DEXTROSE; SODIUM CHLORIDE
1421,DELFLEX W/ DEXTROSE 4.25% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
1422,DELFLEX W/ DEXTROSE 1.5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
1423,DELFLEX W/ DEXTROSE 2.5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
1424,DELFLEX-LM W/ DEXTROSE 1.5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
1425,DELFLEX-LM W/ DEXTROSE 2.5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
1426,DELFLEX-LM W/ DEXTROSE 4.25% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
1427,DELFLEX W/ DEXTROSE 3.5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
1428,DELFLEX-LM W/ DEXTROSE 3.5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
1429,ULTRALENTE,INSULIN ZINC SUSP EXTENDED PURIFIED BEEF
1430,DEXTROSE 10% AND SODIUM CHLORIDE 0.2% IN PLASTIC CONTAINER,DEXTROSE; SODIUM CHLORIDE
1431,LIDOCAINE HYDROCHLORIDE 0.2% IN DEXTROSE 5% IN PLASTIC CONTAINER,LIDOCAINE HYDROCHLORIDE
1432,LIDOCAINE HYDROCHLORIDE 0.4% IN DEXTROSE 5% IN PLASTIC CONTAINER,LIDOCAINE HYDROCHLORIDE
1433,LIDOCAINE HYDROCHLORIDE 0.8% IN DEXTROSE 5% IN PLASTIC CONTAINER,LIDOCAINE HYDROCHLORIDE
1434,CHLOR-TRIMETON,CHLORPHENIRAMINE MALEATE; PSEUDOEPHEDRINE SULFATE
1435,BUPRENEX,BUPRENORPHINE HYDROCHLORIDE
1436,AYGESTIN,NORETHINDRONE ACETATE
1437,PHYSIOSOL PH 7.4 IN PLASTIC CONTAINER,MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE
1438,LITHIUM CITRATE,LITHIUM CITRATE
1439,LOPID,GEMFIBROZIL
1440,AMINOSYN-RF 5.2%,AMINO ACIDS
1441,MVC PLUS,ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A; VITAMIN E
1442,M.V.C. 9+3,ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A; VITAMIN E
1443,DOLOBID,DIFLUNISAL
1444,INTRALIPID 20%,SOYBEAN OIL
1445,NITROPRESS,SODIUM NITROPRUSSIDE
1446,TALACEN,ACETAMINOPHEN; PENTAZOCINE HYDROCHLORIDE
1447,DIALYTE W/ DEXTROSE 1.5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
1448,DIALYTE LM/ DEXTROSE 1.5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
1449,DIALYTE W/ DEXTROSE 4.25% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
1450,DIALYTE LM/ DEXTROSE 4.25% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
1451,DIALYTE LM/ DEXTROSE 2.5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
1452,DIALYTE LM/ DEXTROSE 2.5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
1453,LIDOCAINE HYDROCHLORIDE 0.1% AND DEXTROSE 5% IN PLASTIC CONTAINER,LIDOCAINE HYDROCHLORIDE
1454,LIDOCAINE HYDROCHLORIDE 0.2% AND DEXTROSE 5% IN PLASTIC CONTAINER,LIDOCAINE HYDROCHLORIDE
1455,LIDOCAINE HYDROCHLORIDE 0.4% AND DEXTROSE 5% IN PLASTIC CONTAINER,LIDOCAINE HYDROCHLORIDE
1456,LIDOCAINE HYDROCHLORIDE 0.8% AND DEXTROSE 5% IN PLASTIC CONTAINER,LIDOCAINE HYDROCHLORIDE
1457,SOYACAL 10%,SOYBEAN OIL
1458,HEPATOLITE,TECHNETIUM TC-99M DISOFENIN KIT
1459,BSS PLUS,CALCIUM CHLORIDE; DEXTROSE; GLUTATHIONE DISULFIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE
1460,CIBACALCIN,CALCITONIN HUMAN
1461,OCUCLEAR,OXYMETAZOLINE HYDROCHLORIDE
1462,VENTOLIN,ALBUTEROL
1463,PROCARDIA,NIFEDIPINE
1464,PROSTIN VR PEDIATRIC,ALPROSTADIL
1465,ISOPTIN,VERAPAMIL HYDROCHLORIDE
1466,TECHNESCAN HIDA,TECHNETIUM TC-99M LIDOFENIN KIT
1467,TRINALIN,AZATADINE MALEATE; PSEUDOEPHEDRINE SULFATE
1468,TIS-U-SOL,"MAGNESIUM SULFATE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM CHLORIDE; SODIUM PHOSPHATE"
1469,BAROS,SODIUM BICARBONATE; TARTARIC ACID
1470,DRAXIMAGE DTPA,TECHNETIUM TC-99M PENTETATE KIT
1471,CHENIX,CHENODIOL
1472,LOCOID,HYDROCORTISONE BUTYRATE
1473,METRONIDAZOLE,METRONIDAZOLE
1474,IRRIGATING SOLUTION G IN PLASTIC CONTAINER,CITRIC ACID; MAGNESIUM OXIDE; SODIUM CARBONATE
1475,VANCENASE,BECLOMETHASONE DIPROPIONATE
1476,NITROGLYCERIN,NITROGLYCERIN
1477,NIZORAL,KETOCONAZOLE
1478,DIULO,METOLAZONE
1479,XENON XE 127,XENON XE-127
1480,TRIDIL,NITROGLYCERIN
1481,LOZOL,INDAPAMIDE
1482,RIMADYL,CARPROFEN
1483,POTASSIUM IODIDE,POTASSIUM IODIDE
1484,INDERAL LA,PROPRANOLOL HYDROCHLORIDE
1485,EULEXIN,FLUTAMIDE
1486,YUTOPAR,RITODRINE HYDROCHLORIDE
1487,FANSIDAR,PYRIMETHAMINE; SULFADOXINE
1488,DURAMORPH PF,MORPHINE SULFATE
1489,INFUMORPH,MORPHINE SULFATE
1490,SSD,SILVER SULFADIAZINE
1491,SSD AF,SILVER SULFADIAZINE
1492,SODIUM NITROPRUSSIDE,SODIUM NITROPRUSSIDE
1493,PROCALAMINE,AMINO ACIDS; CALCIUM ACETATE; GLYCERIN; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
1494,BECONASE,BECLOMETHASONE DIPROPIONATE
1495,WYTENSIN,GUANABENZ ACETATE
1496,NITROSTAT,NITROGLYCERIN
1497,AMINOCAPROIC ACID,AMINOCAPROIC ACID
1498,MONISTAT 5,MICONAZOLE NITRATE
1499,SULFAMETHOXAZOLE AND TRIMETHOPRIM DOUBLE STRENGTH,SULFAMETHOXAZOLE; TRIMETHOPRIM
1500,CARDIZEM,DILTIAZEM HYDROCHLORIDE
1501,ZOVIRAX,ACYCLOVIR SODIUM
1502,ZOVIRAX,ACYCLOVIR
1503,PLEGISOL IN PLASTIC CONTAINER,CALCIUM CHLORIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1504,"HEPARIN SODIUM 1,000 UNITS AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",HEPARIN SODIUM
1505,"HEPARIN SODIUM 2,000 UNITS AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",HEPARIN SODIUM
1506,"HEPARIN SODIUM 5,000 UNITS AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",HEPARIN SODIUM
1507,NICORETTE,NICOTINE POLACRILEX
1508,NICORETTE (MINT),NICOTINE POLACRILEX
1509,OVIDE,MALATHION
1510,LIPOSYN 20%,SAFFLOWER OIL
1511,SULFATRIM PEDIATRIC,SULFAMETHOXAZOLE; TRIMETHOPRIM
1512,SULFATRIM,SULFAMETHOXAZOLE; TRIMETHOPRIM
1513,NITRO-BID,NITROGLYCERIN
1514,"DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 5MEQ IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1515,"DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 10MEQ IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1516,"DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 15MEQ IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1517,"DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 20MEQ IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1518,"DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 30MEQ IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1519,"DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 40MEQ IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
1520,TRENTAL,PENTOXIFYLLINE
1521,BETADINE,POVIDONE-IODINE
1522,BETA-VAL,BETAMETHASONE VALERATE
1523,WELLBUTRIN,BUPROPION HYDROCHLORIDE
1524,CORZIDE,BENDROFLUMETHIAZIDE; NADOLOL
1525,THEOPHYLLINE AND DEXTROSE 5% IN PLASTIC CONTAINER,THEOPHYLLINE
1526,MARINOL,DRONABINOL
1527,VERSED,MIDAZOLAM HYDROCHLORIDE
1528,NORPACE CR,DISOPYRAMIDE PHOSPHATE
1529,DELSYM,DEXTROMETHORPHAN POLISTIREX
1530,TRAVAMULSION 10%,SOYBEAN OIL
1531,ACCUTANE,ISOTRETINOIN
1532,CHYMODIACTIN,CHYMOPAPAIN
1533,IOSAT,POTASSIUM IODIDE
1534,NORDETTE-21,ETHINYL ESTRADIOL; LEVONORGESTREL
1535,NICLOCIDE,NICLOSAMIDE
1536,NITRONAL,NITROGLYCERIN
1537,NITRO IV,NITROGLYCERIN
1538,METRO I.V.,METRONIDAZOLE
1539,HEPATAMINE 8%,AMINO ACIDS
1540,CESAMET,NABILONE
1541,BRANCHAMIN 4%,AMINO ACIDS
1542,TRIMETHOPRIM,TRIMETHOPRIM
1543,PARAGARD T 380A,COPPER
1544,TZ-3,TIOCONAZOLE
1545,TODAY,NONOXYNOL-9
1546,BRANCHAMIN 4% IN PLASTIC CONTAINER,AMINO ACIDS
1547,GAVISCON,ALUMINUM HYDROXIDE; MAGNESIUM TRISILICATE
1548,NORMODYNE,LABETALOL HYDROCHLORIDE
1549,RIDAURA,AURANOFIN
1550,INDOMETHACIN,INDOMETHACIN
1551,MARCAINE,BUPIVACAINE HYDROCHLORIDE
1552,INOCOR,INAMRINONE LACTATE
1553,HALDOL,HALOPERIDOL DECANOATE
1554,ACLOVATE,ALCLOMETASONE DIPROPIONATE
1555,ZANTAC 150,RANITIDINE HYDROCHLORIDE
1556,ZANTAC 300,RANITIDINE HYDROCHLORIDE
1557,NITROLINGUAL,NITROGLYCERIN
1558,NITROLINGUAL PUMPSPRAY,NITROGLYCERIN
1559,HYDERGINE LC,ERGOLOID MESYLATES
1560,DORAL,QUAZEPAM
1561,CAPOZIDE 25/15,CAPTOPRIL; HYDROCHLOROTHIAZIDE
1562,CAPOZIDE 25/25,CAPTOPRIL; HYDROCHLOROTHIAZIDE
1563,CAPOZIDE 50/25,CAPTOPRIL; HYDROCHLOROTHIAZIDE
1564,CAPOZIDE 50/15,CAPTOPRIL; HYDROCHLOROTHIAZIDE
1565,BILTRICIDE,PRAZIQUANTEL
1566,TRANDATE,LABETALOL HYDROCHLORIDE
1567,MODRASTANE,TRILOSTANE
1568,SODIUM CHLORIDE 0.9% AND POTASSIUM CHLORIDE 0.075% IN PLASTIC CONTAINER,POTASSIUM CHLORIDE; SODIUM CHLORIDE
1569,SODIUM CHLORIDE 0.9% AND POTASSIUM CHLORIDE 0.15% IN PLASTIC CONTAINER,POTASSIUM CHLORIDE; SODIUM CHLORIDE
1570,SODIUM CHLORIDE 0.9% AND POTASSIUM CHLORIDE 0.22% IN PLASTIC CONTAINER,POTASSIUM CHLORIDE; SODIUM CHLORIDE
1571,SODIUM CHLORIDE 0.9% AND POTASSIUM CHLORIDE 0.3% IN PLASTIC CONTAINER,POTASSIUM CHLORIDE; SODIUM CHLORIDE
1572,DEPAKOTE,DIVALPROEX SODIUM
1573,ACETATED RINGER'S IN PLASTIC CONTAINER,CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
1574,BUSPAR,BUSPIRONE HYDROCHLORIDE
1575,TALWIN NX,NALOXONE HYDROCHLORIDE; PENTAZOCINE HYDROCHLORIDE
1576,ISOVUE-M 200,IOPAMIDOL
1577,ISOVUE-300,IOPAMIDOL
1578,ISOVUE-370,IOPAMIDOL
1579,ISOVUE-M 300,IOPAMIDOL
1580,ISOVUE-128,IOPAMIDOL
1581,ISOVUE-200,IOPAMIDOL
1582,ISOVUE-250,IOPAMIDOL
1583,EXELDERM,SULCONAZOLE NITRATE
1584,DIPROLENE,BETAMETHASONE DIPROPIONATE
1585,POTASSIUM CHLORIDE 0.075% IN DEXTROSE 5% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE
1586,POTASSIUM CHLORIDE 0.15% IN DEXTROSE 5% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE
1587,POTASSIUM CHLORIDE 0.22% IN DEXTROSE 5% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE
1588,POTASSIUM CHLORIDE 0.3% IN DEXTROSE 5% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE
1589,VASOCON-A,ANTAZOLINE PHOSPHATE; NAPHAZOLINE HYDROCHLORIDE
1590,ISOCLOR,CHLORPHENIRAMINE MALEATE; PSEUDOEPHEDRINE HYDROCHLORIDE
1591,LOPROX,CICLOPIROX
1592,LITHOSTAT,ACETOHYDROXAMIC ACID
1593,SPECTAZOLE,ECONAZOLE NITRATE
1594,ORUDIS,KETOPROFEN
1595,CALCIBIND,CELLULOSE SODIUM PHOSPHATE
1596,TRAVAMULSION 20%,SOYBEAN OIL
1597,TENORETIC 100,ATENOLOL; CHLORTHALIDONE
1598,TENORETIC 50,ATENOLOL; CHLORTHALIDONE
1599,BRETHAIRE,TERBUTALINE SULFATE
1600,ANSAID,FLURBIPROFEN
1601,VEPESID,ETOPOSIDE
1602,TORNALATE,BITOLTEROL MESYLATE
1603,LACRISERT,HYDROXYPROPYL CELLULOSE
1604,NITROL,NITROGLYCERIN
1605,NORCURON,VECURONIUM BROMIDE
1606,HUMULIN R,INSULIN RECOMBINANT HUMAN
1607,HUMULIN R KWIKPEN,INSULIN HUMAN
1608,HUMULIN R,INSULIN HUMAN
1609,HUMULIN R PEN,INSULIN RECOMBINANT HUMAN
1610,HUMULIN N,INSULIN SUSP ISOPHANE RECOMBINANT HUMAN
1611,NORDETTE-28,ETHINYL ESTRADIOL; LEVONORGESTREL
1612,SOYACAL 20%,SOYBEAN OIL
1613,NEOPHAM 6.4%,AMINO ACIDS
